[0]:  «Сол-6»
[3442]:  Третий инопланетянин ведет себя как Льюис.
[3445]:  Она единственная, кого я ни разу не видел улыбающейся.
[3448]:  Она всегда выглядит такой серьезной, такой бдительной.
[3452]:  Я не знаю, как четвероногие встают по стойке смирно,
[3455]:  но я думаю, что она делает это все время.
[3458]:  Единственное, что портит впечатление, это ее веки.
[3462]:  Они у нее все время полуприкрыты, и это делало бы ее взгляд
[3465]:  сонным, если бы не все время, просвечивающий на морде
[3469]:  инопланетный эквивалент сержанта строевика.
[3472]:  Вместо рога у этой имеются крылья.
[3475]:  Да, верно, именно крылья.
[3477]:  Шесть конечностей.
[3479]:  Не знаю, для чего они ей.
[3481]:  Прошлым вечером она попыталась полетать по дому, но едва
[3484]:  смогла оторваться от земли, хлопая крыльями, словно
[3487]:  курица.
[3488]:  Они явно слишком малы, чтобы поддерживать ее в воздухе.
[3491]:  У нее бледно-оранжевый мех и блестящие оранжевые
[3494]:  волосы вдоль корней, но к концу они становятся темно-оранжевыми.
[3499]:  Ее логотип — клубок огня, поэтому я называю ее Fireball.
[3504]:  Теперь о четвертой.
[3506]:  Вероятно, все видели хотя бы один фильм про чужого,
[3509]:  верно?
[3510]:  Вот, представьте, что ксеноморфа оттуда скрестили с вишней
[3513]:  и магикой, а может и Fireball добавили.
[3516]:  Это даст вам некоторое представление о четвертом пришельце.
[3520]:  У нее огромные светящиеся бледно-голубые глаза, словно
[3524]:  у Жука, правда, несложно фасетчатые, но и никаких
[3527]:  признаков радужек или зрачков, как у других инопланетян,
[3530]:  на них нет.
[3531]:  Она черная от рога до копыт, за исключением глаз и пары
[3536]:  жучных крыльев, которые работают еще хуже, чем у
[3539]:  Fireball жук пыталась подняться в воздух, пока ее крылья не
[3542]:  зазвучали, словно подвесной движок на лодке, но так и
[3545]:  оторвалась от пола.
[3546]:  И как бы странно это не звучало, в ее конечностях есть отверстия.
[3552]:  Откровенные дыры, прям как будто ее бабушкой была
[3555]:  головка швейцарского сыра.
[3557]:  Муха, как я сейчас ее называю, сунула свой нос буквально
[3562]:  в каждую дыру в доме.
[3564]:  Именно она нашла туалет и я показала остальным,
[3567]:  как им пользоваться.
[3568]:  Сама она, правда, не стала им пользоваться, и что
[3572]:  еще более странно.
[3573]:  Вчера вечером она отказалась от пакета с едой, а сегодня
[3578]:  это повторилось снова, хотя моей чашкой кофе не
[3581]:  побрезгивала.
[3582]:  Несколько раз мне пришлось мягко отстранять ее от более
[3585]:  хрупких вещей, в том числе пару раз, пока я это печатал.
[3589]:  И, наконец, последний, чье единственное сходство
[3593]:  с остальными — то, что он говорит на одном с ними
[3595]:  языке.
[3596]:  Во-первых, он это именно он.
[3599]:  Ну или я так полагаю.
[3601]:  Поскольку его голос на две октавы ниже, чем у других.
[3605]:  Кроме того, он не четвероногий копытный, а двуногая рептилия,
[3609]:  стоящая на двух длинных задних конечностях, которые
[3612]:  почти могли бы сойти за человеческие, если бы не пара незначительных
[3617]:  отличий.
[3618]:  Таких как когтистые пальцы, чешуя, опора только на пальцы.
[3622]:  Ну вы поняли.
[3624]:  Всякие мелочи в этом роде.
[3626]:  Если другие время от времени встают на задние ноги, чтобы
[3629]:  что-то достать или даже сделать несколько неуклюжих
[3632]:  шагов, стоя в вертикальном положении, то он единственный,
[3636]:  кто ходит так постоянно.
[3638]:  Также у него имеется остроконечный хвост длиной примерно в
[3641]:  половину ноги.
[3642]:  Его скафандр единственный, у которого есть специальный
[3645]:  отсек, сделанный только ради хвоста.
[3648]:  Он немного выше меня, что делает его примерно на
[3651]:  полторы головы выше Йоханссон или любого другого пришельца,
[3655]:  вставшего на задние ноги.
[3656]:  Это он компенсирует, будучи тощим, как жерть, словно
[3660]:  змея с руками и ногами, но с драконией и мордой.
[3662]:  Он по большей части белый, с красной окантовкой по
[3666]:  бокам тела и во виде буквы «в» на шее и груди.
[3670]:  У него есть темно-желтые гребни на голове и вдоль
[3673]:  позвоночника, прямо как у Годзиллы, только округлые
[3677]:  и тупые.
[3678]:  Верхний гребень более месистый и немного наклонен вперед
[3681]:  ко лбу, что делает его похожим на зачесанные волосы.
[3684]:  Из-за этого я пока еще не решил, называть ли его
[3688]:  пафом или кирком.
[3690]:  Дова.
[3692]:  Все остальные инопланетяне копытные.
[3695]:  И я решил считать их травоядными, пока они не дадут мне повода
[3698]:  к иному отношению.
[3700]:  Именно поэтому я дал им вегетарианские наборы,
[3703]:  приблизительно четверть всех моих пакетов с едой,
[3706]:  содержат растительный белок вместо мяса.
[3708]:  Он лучше хранится и дешевле стоит, одним словом, двойная
[3712]:  выгода для наса.
[3713]:  Но паф всеяден, и под «всеядностью» я имею в виду то, что он
[3719]:  даже не стал разворачивать и разогревать свой пакет.
[3722]:  Он просто запустил в него зубы и слопал его целиком
[3725]:  вместе с упаковкой.
[3727]:  Хотя, если честно, он, скорее всего, просто красуется.
[3729]:  Парень прямо-таки источает брутальность.
[3733]:  Ладно, я убил уже больше получаса на написание этого,
[3737]:  так что мне пора бы прерваться.
[3739]:  Если мы все вшестером собираемся жить вместе, то мне нужно
[3743]:  убедиться, что все в полном порядке.
[3745]:  Это означает, что нужно очистить солнечные панели,
[3749]:  проверить, что они вообще пережили бурю, а затем
[3752]:  провести диагностику на всем критически важном оборудовании
[3755]:  оксигенаторе, регуляторе атмосферы и регенераторе воды.
[3759]:  И мне также нужно подготовить хотя бы одного из роверов.
[3763]:  Если системы дома окажутся в порядке, завтра я попрошу
[3766]:  своих гостей отвезти меня к их кораблю.
[3770]:  Если из него можно извлечь хоть что-то, особенно еду,
[3773]:  то лучше это сделать как можно скорее.
[3776]:  Я только надеюсь, что он находится в пределах
[3778]:  10-километрового радиуса, указанного в регламентах
[3782]:  миссии.
[3783]:  Если вдали от дома у ровера сядут батареи, нам придется
[3787]:  очень долго ждать приезда дорожных механиков с подзарядкой.
[3790]:  Примечание автора в Алийский язык Пони — это отсылка
[3795]:  к путешествиям Гулливера.
[3797]:  И да, это превращает Уотни в Еху.
[3800]:  Некоторые из вас могут подумать, что я изображаю
[3803]:  командора Льюис немного мрачно в этой и последующих
[3806]:  главах.
[3807]:  В оригинальной книге мы не видим ее или остальную
[3810]:  команду целых 4 месяца после отмены миссии, за исключением
[3814]:  главы, которая возвращается к точке зрения экипажа
[3817]:  на сам отлет, и поэтому мы не видим, как экипаж
[3820]:  пережил гибель Уотни.
[3823]:  Но мы знаем, что 4 месяца спустя, первой реакцией
[3827]:  Льюис на известие о том, что Уотни выжил, было мучительное
[3831]:  чувство вины.
[3832]:  Поэтому я могу только представить, что на следующий день после отлета
[3836]:  оно было по меньшей мере таким же сильным, как и
[3839]:  через 4 месяца.
[3840]:  И просто, чтобы прервать спекуляцию.
[3843]:  Нет, Гермес не остается, чтобы спасти Уотни.
[3847]:  МВМ миссии.
[3851]:  РС-4 только начал делать топливо, необходимое для запуска.
[3857]:  МВМ РС-3 не может приземлиться обратно на Марс.
[3862]:  Нет топлива, теплозащитного экрана, парашютов и так
[3865]:  дэй и тапата.
[3866]:  А у Гермеса нет припасов, чтобы ждать.
[3870]:  Но у меня есть несколько причин, чтобы задержать
[3872]:  их тут еще ненадолго.
[3875]:  По правилам Несэ, к экипажу космического корабля имеет
[3879]:  право обращаться только и исключительно оператор
[3882]:  связи, чтобы в экстренных ситуациях астронавты четко
[3885]:  знали кого слушать и не путались в противоречивых
[3888]:  приказах.
[3889]:  Все остальные, включая начальство любого ранга,
[3893]:  обязаны передавать свои слова через оператора.
[3895]:  Поэтому прямое обращение Митчелла для Льюис действительно
[3899]:  нечто из ряда вон.
[3900]:  Отсыл на прическу Кирка из Star Trek.
